,player_name,year,team,player_position,player_height,player_weight,process_status
0,Landon Clement,2009,UNC Greensboro,Guard,188,81,Success
1,Rob Keefer,2009,Lehigh,Guard,190,83,Success
2,Darryl Shazier,2009,Bucknell,Guard,183,80,Success
3,G.W. Boon,2009,Bucknell,Guard,193,97,Success
4,Rickey Royal,2009,Army,Guard,190,78,Success
5,Willie Veasley,2009,Butler,Guard,190,93,Success
6,Nathan Hedgecock,2009,Army,Guard,188,88,Success
7,Jeremy Hence,2009,Army,Forward,190,92,Success
8,Kodi Augustus,2009,Mississippi St.,Forward,203,101,Success
9,Will Figures,2009,Northern Colorado,Guard,175,70,Success
10,Patrick Patterson,2009,Kentucky,Forward,206,106,Success
11,Ravern Johnson,2009,Mississippi St.,Guard,201,79,Success
12,Riley Benock,2009,Mississippi St.,Guard,193,87,Success
13,Brandon Bolen,2009,Mississippi St.,Guard,190,94,Success
14,Jerai Grant,2009,Clemson,Forward,203,104,Success
15,Trevon Hughes,2009,Wisconsin,Guard,185,87,Success
16,Zamal Nixon,2009,Houston,Guard,185,77,Success
17,Brett Valentyn,2009,Wisconsin,Guard,193,88,Success
18,Tom Kopko,2009,Notre Dame,Guard,188,84,Success
19,Marlon Day,2009,Northwestern,Forward,196,102,Success
20,Neal Kingman,2009,Northern Colorado,Forward,201,99,Success
21,Jeff Brooks,2009,Penn St.,Forward,203,90,Success
22,Cameron Lewis,2009,Penn,Forward,203,102,Success
23,Stanley Pringle,2009,Penn St.,Guard,185,81,Success
24,Michael Patton,2009,Northern Illinois,Guard,178,85,Success
25,Devon Beitzel,2009,Northern Colorado,Guard,185,81,Success
26,Abdulai Jalloh,2009,James Madison,Guard,188,86,Success
27,Chris Miles,2009,BYU,Center,211,106,Success
28,Demontez Stitt,2009,Clemson,Guard,188,81,Success
29,Gene Johnson,2009,Morgan St.,Forward,201,99,Success
30,Jermaine Bolden,2009,Morgan St.,Guard,170,79,Success
31,Nick Sidorakis,2009,Oklahoma St.,Guard,193,88,Success
32,Adrian Moss,2009,IUPUI,Forward,206,112,Success
33,Kyron Stokes,2009,Oral Roberts,Guard,196,95,Success
34,Joe Moore,2009,Oral Roberts,Guard,183,86,Success
35,David Nurse,2009,Western Illinois,Guard,190,88,Success
36,Arsenio Mims,2009,Western Illinois,Forward,190,90,Success
37,Andres Torres,2009,Hartford,Guard,178,77,Success
38,Jawaan Alston,2009,Buffalo,Forward,203,102,Success
39,Josh Rivers,2009,Western Illinois,Guard,183,77,Success
40,Brian Addison,2009,Buffalo,Forward,203,102,Success
41,Aaron Bond,2009,Davidson,Guard,193,86,Success
42,Mouhamed Lo,2009,Toledo,Forward,203,104,Success
43,Justin Anyijong,2009,Toledo,Forward,206,92,Success
44,Matthew Bryan-Amaning,2009,Washington,Forward,206,108,Success
45,Booker Woodfox,2009,Creighton,Guard,185,83,Success
46,Kaleb Korver,2009,Creighton,Guard,196,88,Success
47,Cavel Witter,2009,Creighton,Guard,180,76,Success
48,P'Allen Stinnett,2009,Creighton,Guard,190,83,Success
49,Sam Muldrow,2009,South Carolina,Forward,206,103,Success
50,Steven Moore,2009,Arkansas Little Rock,Guard,183,81,Success
51,Steve Robinson,2009,Quinnipiac,Guard,183,81,Success
52,Austin Johnson,2009,Oklahoma,Guard,193,88,Success
53,Luke Devine,2009,Fordham,Center,208,115,Success
54,Taylor Griffin,2009,Oklahoma,Forward,201,107,Success
55,A.J. Abrams,2009,Texas,Guard,180,73,Success
56,Durrell Summers,2009,Michigan St.,Guard,196,92,Success
57,Kalin Lucas,2009,Michigan St.,Guard,185,88,Success
58,Colin Cunningham,2009,Holy Cross,Forward,198,99,Success
59,Jared Mintz,2009,Lafayette,Forward,206,110,Success
60,Darion Benbow,2009,Lafayette,Forward,201,81,Success
