,player_name,year,team,player_position,player_height,player_weight,process_status
0,Brian McDonald,2009,Northeastern,-1,-1,-1,Failure: Did not find player
1,Marques Johnson,2009,Boston University,Forward,201,98,Success
2,Al Fisher,2009,Kent St.,-1,-1,-1,Failure: Did not find player
3,Ifeanyi Ehirim,2009,Robert Morris,-1,-1,-1,Failure: Did not find player
4,Phillip Adams,2009,South Carolina St.,-1,-1,-1,Failure: Did not find player
5,Olawale Alesh,2009,Rhode Island,-1,-1,-1,Failure: Did not find player
6,Anthony Jones,2009,Savannah St.,Guard,198,88,Success
7,Jason Aycock,2009,UNC Wilmington,-1,-1,-1,Failure: Did not find player
8,Alex English,2009,Colgate,Forward,201,86,Success
9,Jeff Kari,2009,Lafayette,Guard,188,83,Success
10,John Williams,2009,UNC Asheville,Forward,203,106,Success
11,Ryan Butler,2009,Richmond,-1,-1,-1,Failure: Did not find player
12,Conroy Witter,2009,FIU,-1,-1,-1,Failure: Did not find player
13,Alfred Jones,2009,Tennessee Tech,-1,-1,-1,Failure: Did not find player
14,Wes Libuit,2009,Loyola Marymount,-1,-1,-1,Failure: Did not find player
15,Blaine Booher,2009,Oklahoma St.,-1,-1,-1,Failure: Did not find player
16,Jarrod Randall,2009,Maryland Eastern Shore,-1,-1,-1,Failure: Did not find player
17,Sheyi Olaoshebikan,2009,Miami OH,-100,-100,-100,Failure: Other Error
18,Tramaine Pride,2009,Charlotte,-1,-1,-1,Failure: Did not find player
19,Yannick Braimbridge,2009,Howard,-1,-1,-1,Failure: Did not find player
20,Dion Williams,2009,New Mexico,-1,-1,-1,Failure: Did not find player
21,Nick Scott,2009,Tulane,-1,-1,-1,Failure: Did not find player
22,Marc Ellis,2009,Texas Southern,-1,-1,-1,Failure: Did not find player
23,Jerime Anderson,2009,UCLA,-1,-1,-1,Failure: Did not find player
24,Yonas Berhe,2009,Louisiana Tech,-1,-1,-1,Failure: Did not find player
25,Tyler Maddry,2009,Florida A&M,-1,-1,-1,Failure: Did not find player
26,Sam Shew,2009,Georgia Tech,-1,-1,-1,Failure: Did not find player
27,James Diefenbach,2009,UCLA,-1,-1,-1,Failure: Did not find player
28,Evan White,2009,Indiana,-1,-1,-1,Failure: Did not find player
29,Jamaal Day,2009,South Carolina St.,-1,-1,-1,Failure: Did not find player
30,Ned Goertzen,2009,Bradley,-1,-1,-1,Failure: Did not find player
31,Donald Bell,2009,Prairie View A&M,-1,-1,-1,Failure: Did not find player
32,Kyle Rawson,2009,Iona,-1,-1,-1,Failure: Did not find player
33,Humpty Hitchens,2009,Akron,-1,-1,-1,Failure: Did not find player
34,Jimmy Nolan,2009,George Mason,-1,-1,-1,Failure: Did not find player
35,Lex Mongo,2009,Massachusetts,-1,-1,-1,Failure: Did not find player
36,Matt Favaro,2009,Colorado,-1,-1,-1,Failure: Did not find player
37,Bubba Chisholm,2009,Illinois,-1,-1,-1,Failure: Did not find player
38,Jin Cheng,2009,Northwestern St.,-1,-1,-1,Failure: Did not find player
39,Brandon Gregory,2009,Northwestern St.,-1,-1,-1,Failure: Did not find player
40,John Taubeneck,2009,St. John's,-1,-1,-1,Failure: Did not find player
41,Rico Myles,2009,Morgan St.,-1,-1,-1,Failure: Did not find player
42,Joseph Morgan,2009,Morgan St.,-1,-1,-1,Failure: Did not find player
43,Kelly Merker,2009,New Mexico St.,-1,-1,-1,Failure: Did not find player
44,Jake Grimes,2009,Rhode Island,-1,-1,-1,Failure: Did not find player
45,Sean Brown,2009,Pittsburgh,-1,-1,-1,Failure: Did not find player
46,Kaycee Obi-Gwacham,2009,North Carolina St.,-1,-1,-1,Failure: Did not find player
47,John Williams,2009,San Jose St.,Forward,203,106,Success
48,Elijah Muhammad,2009,Tennessee Tech,-1,-1,-1,Failure: Did not find player
49,Matt Dunsmoor,2009,Northern Colorado,-1,-1,-1,Failure: Did not find player
50,Chris Summers,2009,Liberty,-1,-1,-1,Failure: Did not find player
51,Christian Tonkins,2009,Western Carolina,-1,-1,-1,Failure: Did not find player
52,Mike Myers Keitt,2009,Monmouth,-1,-1,-1,Failure: Did not find player
53,Kory Pugh,2009,UCF,-1,-1,-1,Failure: Did not find player
54,Brett Bitove,2009,Wake Forest,-1,-1,-1,Failure: Did not find player
55,Alex Hamo,2009,Eastern Michigan,-1,-1,-1,Failure: Did not find player
56,Alex Davis,2009,Tennessee Tech,-1,-1,-1,Failure: Did not find player
57,Evan Synstad,2009,Virginia Tech,-1,-1,-1,Failure: Did not find player
58,Josh Bateman,2009,Southern Utah,-1,-1,-1,Failure: Did not find player
59,Zac Coffelt,2009,Rice,-1,-1,-1,Failure: Did not find player
60,Dee Brown,2009,Bowling Green,Guard,185,72,Success
61,Anthony Jones,2009,Baylor,Guard,198,88,Success
62,Kipp Schutz,2009,Indiana,-1,-1,-1,Failure: Did not find player
63,Mike Santa,2009,Indiana,-1,-1,-1,Failure: Did not find player
64,Jordan Cameron,2009,USC,-1,-1,-1,Failure: Did not find player
65,Eddie Vanderwerff,2009,Florida St.,-1,-1,-1,Failure: Did not find player
66,Emanuel Mayben,2009,Binghamton,-1,-1,-1,Failure: Did not find player
67,John Long,2009,Morgan St.,Guard,196,88,Success
68,Marius Chawa,2009,Savannah St.,-1,-1,-1,Failure: Did not find player
69,Nolan Cox,2009,Oklahoma St.,-1,-1,-1,Failure: Did not find player
70,Eric House,2009,Northern Arizona,-1,-1,-1,Failure: Did not find player
71,Michael Boan,2009,Wright St.,-1,-1,-1,Failure: Did not find player
72,Matt Cajuste,2009,Seton Hall,-1,-1,-1,Failure: Did not find player
73,Onyekautukwu Abiakam,2009,Texas Southern,-1,-1,-1,Failure: Did not find player
74,Kenny Lawson Jr.,2009,Creighton,-1,-1,-1,Failure: Did not find player
75,Frank Henry-Ala,2009,Kent St.,-1,-1,-1,Failure: Did not find player
76,Kwame Morgan II,2009,Hampton,-1,-1,-1,Failure: Did not find player
77,Adekambi Laleye,2009,Buffalo,-1,-1,-1,Failure: Did not find player
78,Savalace Townsend,2009,Arkansas Pine Bluff,-1,-1,-1,Failure: Did not find player
79,Trent Blakley,2009,Cal St. Bakersfield,-1,-1,-1,Failure: Did not find player
80,Michael Washington,2009,Arkansas,-1,-1,-1,Failure: Did not find player
81,Stefan Welsh,2009,Arkansas,-1,-1,-1,Failure: Did not find player
82,Zach Moritz,2009,Boise St.,-1,-1,-1,Failure: Did not find player
83,Wesley Channels,2009,Austin Peay,-1,-1,-1,Failure: Did not find player
84,Tim Zephyr,2009,Norfolk St.,-1,-1,-1,Failure: Did not find player
85,Anthony Mason Jr.,2009,St. John's,-1,-1,-1,Failure: Did not find player
86,Tony White Jr.,2009,College of Charleston,-1,-1,-1,Failure: Did not find player
87,Ceola Clark III,2009,Western Illinois,-1,-1,-1,Failure: Did not find player
88,Morris Smith IV,2009,UTSA,-1,-1,-1,Failure: Did not find player
89,Cliff Spiller,2009,Wagner,-1,-1,-1,Failure: Did not find player
90,Andres Irarrazabal,2009,Tennessee Martin,-1,-1,-1,Failure: Did not find player
91,Rodney Haddix II,2009,Miami OH,-1,-1,-1,Failure: Did not find player
92,Cam Long,2009,George Mason,-1,-1,-1,Failure: Did not find player
93,Vince Goldsberry,2009,Coppin St.,-1,-1,-1,Failure: Did not find player
94,Zachery Peacock,2009,Georgia Tech,-1,-1,-1,Failure: Did not find player
95,Dwight Thorne II,2009,Colorado,-1,-1,-1,Failure: Did not find player
96,Malcolm Eleby,2009,St. Bonaventure,-1,-1,-1,Failure: Did not find player
97,Chris Meriwether,2009,Vanderbilt,-1,-1,-1,Failure: Did not find player
98,Emmanuel Bidias a Moute,2009,Texas St.,-1,-1,-1,Failure: Did not find player
99,Seve Beach,2009,IPFW,-1,-1,-1,Failure: Did not find player
