,player_index,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,year,pid,Height,Weight,conference_A10,conference_ACC,conference_AE,conference_ASun,conference_Amer,conference_B10,conference_B12,conference_BE,conference_BSky,conference_BSth,conference_BW,conference_CAA,conference_CUSA,conference_GWC,conference_Horz,conference_Ind,conference_Ivy,conference_MAAC,conference_MAC,conference_MEAC,conference_MVC,conference_MWC,conference_NEC,conference_OVC,conference_P10,conference_P12,conference_Pat,conference_SB,conference_SC,conference_SEC,conference_SWAC,conference_Slnd,conference_Sum,conference_WAC,conference_WCC,conference_ind,player_yr_0,player_yr_42.9,player_yr_57.1,player_yr_Fr,player_yr_Jr,player_yr_None,player_yr_So,player_yr_Sr,player_pos_Center,player_pos_Forward,player_pos_Guard,Draft Pred,Draft Pick
0,Isaiah Felder-2022-South Carolina St.,11,17.6,61.1,18.6,34.7,35.18,2.5,15.7,8.1,30.4,1,2,0.5,2,8,0.25,7,28,0.25,0.0,0.9,5.6,-1.11,57.5491,2.8,2022,39014,183.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.252655e-05,0
1,Jalen Coleman-Lands-2022-Kansas,23,78.5,103.1,21.5,54.0,56.12,3.6,10.2,7.8,16.1,31,36,0.861,62,129,0.481,58,147,0.395,0.3,1.4,13.0,2.97703,111.426,3.5,2022,40204,193.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.631081e-05,0
2,K.J. Walton-2022-Akron,20,63.0,108.6,26.5,54.3,58.88,9.1,12.6,8.9,17.2,73,92,0.793,127,231,0.55,0,3,0.0,0.7,2.4,39.3,3.09736,116.101,3.3,2022,41728,190.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.236636e-05,0
3,Jeriah Horne-2022-Tulsa,32,61.3,116.0,20.8,55.2,58.61,5.8,23.0,7.5,13.0,48,53,0.906,71,139,0.511,52,131,0.397,0.3,1.5,19.6,3.27789,123.812,2.6,2022,44216,201.0,99.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.513823e-05,0
4,Eric Curry-2022-Minnesota,29,39.2,95.1,14.7,46.3,48.72,7.0,13.7,10.2,20.7,18,29,0.621,38,74,0.514,4,21,0.19,1.5,2.9,30.5,0.435561,93.2541,4.9,2022,44217,206.0,108.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.26684e-05,0
5,Jailyn Ingram-2022-Georgia,18,59.2,98.4,23.5,46.0,47.59,5.3,22.7,14.7,15.6,16,22,0.727,48,116,0.414,25,70,0.357,1.8,1.8,11.8,1.3627,100.968,2.8,2022,44344,201.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.196824e-05,0
6,Quentin Jackson Jr.-2022-Loyola Marymount,6,11.4,95.7,13.5,47.6,50.22,1.3,3.8,9.6,21.6,3,4,0.75,4,12,0.333,4,9,0.444,0.0,2.3,19.0,0.208556,88.8262,4.8,2022,44346,184.070618,85.602791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.298511e-05,0
7,Charlie Moore-2022-Miami FL,16,67.1,96.3,26.6,47.4,50.23,2.5,9.6,28.2,21.9,32,42,0.762,57,128,0.445,28,81,0.346,0.0,1.9,20.1,2.68362,109.564,2.9,2022,44420,180.0,81.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.35238e-05,0
8,Ben Shungu-2022-Vermont,15,73.0,114.7,20.4,51.9,59.99,2.3,15.9,23.0,18.6,51,59,0.864,36,64,0.563,13,43,0.302,1.1,1.6,55.1,2.80473,112.955,2.8,2022,44546,188.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.2532636e-05,0
9,Keon Clergeot-2022-Southeastern Louisiana,24,72.7,101.5,25.9,47.1,57.34,2.6,9.1,15.7,22.9,154,192,0.802,67,148,0.453,31,93,0.333,0.3,1.7,79.7,2.09826,104.472,3.8,2022,44685,185.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.316762e-05,0
