,player_name,year,team,player_position,player_height,player_weight,process_status
271,Brian McDonald,2009,Northeastern,-1,-1,-1,Failure: Did not find player
707,Marques Johnson,2009,Boston University,-100,-100,-100,Failure: Other Error
800,Al Fisher,2009,Kent St.,-1,-1,-1,Failure: Did not find player
904,Ifeanyi Ehirim,2009,Robert Morris,-1,-1,-1,Failure: Did not find player
921,Phillip Adams,2009,South Carolina St.,-1,-1,-1,Failure: Did not find player
1114,Olawale Alesh,2009,Rhode Island,-1,-1,-1,Failure: Did not find player
1254,Anthony Jones,2009,Savannah St.,-100,-100,-100,Failure: Other Error
1591,Jason Aycock,2009,UNC Wilmington,-1,-1,-1,Failure: Did not find player
1844,Alex English,2009,Colgate,-100,-100,-100,Failure: Other Error
2061,Jeff Kari,2009,Lafayette,-100,-100,-100,Failure: Other Error
2118,John Williams,2009,UNC Asheville,-100,-100,-100,Failure: Other Error
2152,Ryan Butler,2009,Richmond,-1,-1,-1,Failure: Did not find player
2309,Conroy Witter,2009,FIU,-1,-1,-1,Failure: Did not find player
2343,Alfred Jones,2009,Tennessee Tech,-1,-1,-1,Failure: Did not find player
2422,Wes Libuit,2009,Loyola Marymount,-1,-1,-1,Failure: Did not find player
2429,Blaine Booher,2009,Oklahoma St.,-1,-1,-1,Failure: Did not find player
2464,Jarrod Randall,2009,Maryland Eastern Shore,-1,-1,-1,Failure: Did not find player
2467,Sheyi Olaoshebikan,2009,Miami OH,-1,-1,-1,Failure: Did not find player
2473,Tramaine Pride,2009,Charlotte,-1,-1,-1,Failure: Did not find player
2474,Yannick Braimbridge,2009,Howard,-1,-1,-1,Failure: Did not find player
2475,Dion Williams,2009,New Mexico,-1,-1,-1,Failure: Did not find player
2485,Nick Scott,2009,Tulane,-1,-1,-1,Failure: Did not find player
2486,Marc Ellis,2009,Texas Southern,-1,-1,-1,Failure: Did not find player
2488,Jerime Anderson,2009,UCLA,-1,-1,-1,Failure: Did not find player
2539,Yonas Berhe,2009,Louisiana Tech,-1,-1,-1,Failure: Did not find player
2546,Tyler Maddry,2009,Florida A&M,-1,-1,-1,Failure: Did not find player
2559,Sam Shew,2009,Georgia Tech,-1,-1,-1,Failure: Did not find player
2562,James Diefenbach,2009,UCLA,-1,-1,-1,Failure: Did not find player
2563,Evan White,2009,Indiana,-1,-1,-1,Failure: Did not find player
2654,Jamaal Day,2009,South Carolina St.,-1,-1,-1,Failure: Did not find player
2669,Ned Goertzen,2009,Bradley,-1,-1,-1,Failure: Did not find player
2693,Donald Bell,2009,Prairie View A&M,-1,-1,-1,Failure: Did not find player
2758,Kyle Rawson,2009,Iona,-1,-1,-1,Failure: Did not find player
2768,Humpty Hitchens,2009,Akron,-1,-1,-1,Failure: Did not find player
